LAN          Number of Addresses Required
PD-1 LAN     14
PD-2 LAN     21
PS-101 LAN   19
PS-115 LAN   32

Subnet Description   Number of Hosts Needed   Network Address/CIDR   First Usable Host Address   Broadcast Address
PS-115 LAN           32                       192.168.203.0/26       192.168.203.1               192.168.203.63
PS-101 LAN           19                       192.168.203.64/27      192.168.203.65              192.168.203.95
PD-2 LAN             21                       192.168.203.96/27      192.168.203.97              192.168.203.127
PD-1 LAN             14                       192.168.203.128/28     192.168.203.129             192.168.203.143
WAN Link             2                        192.168.203.144/30     192.168.203.145             192.168.203.147

Device     Interface   IP Address        Subnet Mask       Default Gateway
Police     G0/0        192.168.203.129   255.255.255.240   N/A
Police     G0/1        192.168.203.97    255.255.255.224   N/A
Police     S0/0/0      192.168.203.145   255.255.255.252   N/A
Schools    G0/0        192.168.203.65    255.255.255.224   N/A
Schools    G0/1        192.168.203.1     255.255.255.192   N/A
Schools    S0/0/0      192.168.203.146   255.255.255.252   N/A
PD-1       VLAN1       192.168.203.130   255.255.255.240   192.168.203.129
PD-2       VLAN1       192.168.203.98    255.255.255.224   192.168.203.97
PS-101     VLAN1       192.168.203.66    255.255.255.224   192.168.203.65
PS-115     VLAN1       192.168.203.2     255.255.255.192   192.168.203.1
PD-1-11    NIC         192.168.203.142   255.255.255.240   192.168.203.129
PD-2-23    NIC         192.168.203.126   255.255.255.224   192.168.203.97
PS-101-87  NIC         192.168.203.94    255.255.255.224   192.168.203.65
PS-115-12  NIC         192.168.203.62    255.255.255.192   192.168.203.1
